Percentage at School,Percentage at College,Hours Studing per day,Interested in extracurricular activites?,Self-learning capability?,Are you Introvert?,Area That Align with Your Mission,Skills,Interested Subjects,Hobbies,Fulfilling Activity,Strengths,Suggested Job Role
67,76,7,1,4,0,Economic Development,accounts payable,Finance,Stargazing,Financial Reporting,Resourceful,Accountant
80,70,11,1,5,1,Economic Development,auditing,Finance,Content creation,Accuracy,Organized,Accountant
66,74,9,1,3,0,Economic Development,budgeting,Finance,Editing,financial reporting,Strategic,Accountant
72,78,12,0,4,1,Economic Development,tax preparation,Finance,Researching,tax preparation,Analytical,Accountant
75,68,10,1,5,1,Economic Development,financial reporting,Finance,Poetry,budgeting,Detail-oriented,Accountant
64,73,6,0,5,1,Economic Development,accounts receivable,Finance,Observing celestial events,auditing,Communicative,Accountant
66,79,2,1,1,1,Economic Development,financial statement preparation,Finance,Business strategy,compliance,Insightful,Accountant
63,71,3,0,2,1,Economic Development,tax compliance,Finance,Studying acting techniques,accounts payable,Detail-oriented,Accountant
69,75,4,1,3,0,Economic Development,reconciliation,Finance,Watching theater performances,accounts receivable,Organized,Accountant
74,72,5,0,4,1,Economic Development,financial compliance,Finance,Creating monologues,financial analysis,Ethical,Accountant
80,64,6,1,5,0,Economic Development,investment analysis,Finance,Voice acting,payroll processing,Knowledgeable,Accountant
78,65,8,0,2,1,Economic Development,compliance,Finance,Social media management,cash flow management,Ethical,Accountant
76,70,8,1,2,0,Economic Development,financial software,Finance,Acting,financial forecasting,Tech-savvy,Accountant
65,74,9,0,3,1,Economic Development,variance analysis,Finance,Acting,internal controls,Analytical,Accountant
73,67,10,1,4,0,Economic Development,internal controls,Finance,Watching space documentaries,variance analysis,Detail-oriented,Accountant
79,75,12,0,5,1,Economic Development,financial forecasting,Finance,Writing about space,financial software,Visionary,Accountant
68,66,3,1,1,1,Economic Development,cash flow management,Finance,Reading science fiction,risk management,Proactive,Accountant
70,79,5,1,3,0,Economic Development,financial analysis,Finance,Astrophotography,investment analysis,Insightful,Accountant
77,72,4,0,4,1,Economic Development,payroll processing,Finance,Attending astronomy events,financial compliance,Supportive,Accountant
62,78,7,0,1,1,Economic Development,risk management,Finance,Auditioning for roles,reconciliation,Strategic,Accountant
71,83,11,0,4,0,"	Economic Development",Financial Reporting,Finance,Creative writing,tax compliance,Detail-oriented,Accountant
87,60,9,1,3,1,"	Economic Development",Accuracy,Finance,Volunteering,financial statement preparation,Accuracy,Accountant
64,73,6,0,5,1,Cultural Preservation,physical acting,Acting,Dancing,Performance,Athletic,Actor
70,79,5,1,3,0,Cultural Preservation,collaboration with directors,Acting,Attending dance workshops,character interpretation,Team-oriented,Actor
77,72,4,0,4,1,Cultural Preservation,audition techniques,Acting,Creating dance routines,improvisation,Resilient,Actor
68,66,3,1,1,1,Cultural Preservation,character development,Acting,Performing in dance shows,script analysis,Creative,Actor
67,76,7,1,4,0,Cultural Preservation,voice modulation,Acting,Choreography,emotional range,Vocal skills,Actor
80,70,11,1,5,1,Cultural Preservation,emotional range,Acting,Attending business seminars,stage presence,Empathetic,Actor
66,74,9,1,3,0,Cultural Preservation,script analysis,Acting,Learning about industry trends,voice modulation,Analytical,Actor
72,78,12,0,4,1,Cultural Preservation,improvisation,Acting,Networking,physical acting,Adaptable,Actor
75,68,10,1,5,1,Cultural Preservation,character interpretation,Acting,Project management,collaboration with directors,Expressive,Actor
78,65,8,0,2,1,Cultural Preservation,stage presence,Acting,Entrepreneurship,audition techniques,Charismatic,Actor
68,80,12,1,2,0,"	Community Development",Performance,Acting,Writing,character development,Expression,Actor
67,81,6,0,4,1,Sustainability,Crop Management,Crop Science,Travelling,Crop Management,Problem-Solving,Agronomist
81,77,5,1,1,0,Sustainability,Analysis,Crop Science,Meditation  ,Engaging with Crop Science,Analysis,Agronomist
88,64,5,0,4,0,Technology and Innovation,Communication,Aviation,Painting  ,Communication,Focus,Air Traffic Controller
83,60,4,0,4,1,Technology and Innovation,Decision Making,Aviation,Gaming  ,Decision Making,Calmness,Air Traffic Controller
74,61,9,0,3,1,Technology and Innovation,Communication,Aviation,Digital Art  ,Engaging with Aviation,Focus,Air Traffic Controller
68,66,3,1,1,1,Technology and Innovation,maintenance scheduling,Engineering,Architectural Sketching  ,Maintenance,Engaging,Aircraft Mechanic
66,74,9,1,3,0,Technology and Innovation,engine repair,Engineering,Restoring Vehicles  ,aircraft maintenance,Problem-solving,Aircraft Mechanic
72,78,12,0,4,1,Technology and Innovation,troubleshooting systems,Engineering,Exploring History  ,troubleshooting systems,Detail-oriented,Aircraft Mechanic
76,68,10,1,5,1,Technology and Innovation,aircraft maintenance,Engineering,Sketching  ,engine repair,Technical Skills,Aircraft Mechanic
70,78,6,0,2,1,Technology and Innovation,Maintenance,Engineering,Networking  ,safety inspections,Technical Skills,Aircraft Mechanic
64,81,12,1,5,1,Technology and Innovation,Maintenance,Engineering,Reading  ,avionics systems,Technical Skills,Aircraft Mechanic
70,79,5,1,3,0,Technology and Innovation,compliance with regulations,Engineering,Photography for Fun  ,hydraulic systems,Collaborative,Aircraft Mechanic
78,65,8,0,2,1,Technology and Innovation,avionics systems,Engineering,Socializing  ,technical documentation,Resourceful,Aircraft Mechanic
67,76,7,1,4,0,Technology and Innovation,hydraulic systems,Engineering,Traveling for Inspiration  ,compliance with regulations,Innovative,Aircraft Mechanic
64,73,6,0,5,1,Technology and Innovation,technical documentation,Engineering,Reading for Growth  ,parts replacement,Organized,Aircraft Mechanic
80,70,11,1,5,1,Technology and Innovation,safety inspections,Engineering,Building Models  ,parts replacement,Analytical,Aircraft Mechanic
77,72,4,0,4,1,Technology and Innovation,parts replacement,Engineering,Creative Writing  ,parts replacement,Insightful,Aircraft Mechanic
91,60,12,0,1,1,Healthcare,anesthesia administration,Medicine,Reading medical journals,anesthesia administration,Focus,Anesthesiologist
91,60,12,0,1,1,Technology and Innovation,Anesthesia Administration,Medicine,Volunteering  ,pain management,Focus,Anesthesiologist
60,72,8,0,2,1,Technology and Innovation,Anesthesia Administration,Medicine,Attending Airshows  ,patient monitoring,Focus,Anesthesiologist
87,79,6,0,2,1,Technology and Innovation,Anesthesia Administration,Medicine,Welding  ,sedation techniques,Anesthesia Administration,Anesthesiologist
81,69,8,0,3,0,Technology and Innovation,Anesthesia Administration,Medicine,Flying Drones  ,emergency response,Focus,Anesthesiologist
66,80,3,0,2,1,Healthcare,ethical considerations,Medicine,Yoga,pharmacology,Insightful,Anesthesiologist
